,from_name,from_phone_number,from_address,from_matricule_number,_id,date,due_date,items_0_item_return_isReturned,items_0_item_return_return_quantity,items_0_item_return_deleted_quantity,items_0_name,items_0_quantity,items_0_id,items_0_item,items_0_rate,items_0_amount,items_0_amountHT,items_0_tax,items_0_type,items_0_warehouse,items_0_purchase_price,items_0__id,total,totalHT,taxes_0_deductible,taxes_0_name,taxes_0_value,taxes_0_type,taxes_0_apply_after_vat,taxes_1_deductible,taxes_1_name,taxes_1_value,taxes_1_type,taxes_1_apply_after_vat,currency,owner,parent,payment_status,amountPaid,payment_history,company,isDeleted,status,lastClientNotif,createdAt,updatedAt,__v,reference,bill_id,bill_name,bill_phone_number,bill_address,bill_matricule_number,ship_id,ship_name,ship_phone_number,ship_address,ship_matricule_number,items_0_reference,items_0_discount,taxes,notes,terms,bank_details,payment_terms,po,items_1_item_return_isReturned,items_1_item_return_return_quantity,items_1_item_return_deleted_quantity,items_1_name,items_1_reference,items_1_quantity,items_1_id,items_1_item,items_1_rate,items_1_amount,items_1_amountHT,items_1_tax,items_1_discount,items_1_type,items_1_warehouse,items_1_purchase_price,items_1__id,items_2_item_return_isReturned,items_2_item_return_return_quantity,items_2_item_return_deleted_quantity,items_2_name,items_2_reference,items_2_quantity,items_2_id,items_2_item,items_2_rate,items_2_amount,items_2_amountHT,items_2_tax,items_2_type,items_2_warehouse,items_2_purchase_price,items_2__id,taxes_2_name,taxes_2_value,taxes_2_type,taxes_2_apply_after_vat,taxes_2_deductible
0,Hazzem,+21620000000,Tun,9889,670175de3af8e9865f5e04e1,2024-10-04T23:00:00.000Z,2024-10-05T17:22:38.368Z,False,0,0,Article 0,5.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,2.0,10.0,10.0,0.0,item,67017588a2c4c24c9f65bd33,0.0,670175de3af8e9865f5e04e2,11.1,10.0,False,stamp,1.0,NUMBER,False,False,fodec,1.0,PERCENTILE,True,TND,670175884b923eac46d240f3,670175de3af8e9865f5e04d9,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-05T17:22:38.368Z,2024-10-05T17:22:38.368Z,0,00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hazzem,+21620000000,Tun,9889,6705a9afd1e7e8c9500cc8c1,2024-10-07T23:00:00.000Z,2024-10-09T21:52:20.618Z,False,0,0,Article 0,1.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,5.0,5.085,4.5,0.13,item,67017588a2c4c24c9f65bd33,5.0,6705a9afd1e7e8c9500cc8c2,6.13585,4.5,False,stamp,1.0,NUMBER,False,False,fodec,1.0,PERCENTILE,True,TND,670175884b923eac46d240f3,6705a9afd1e7e8c9500cc8b9,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-08T21:52:47.775Z,2024-10-08T21:52:47.775Z,0,00002,6705a980d1e7e8c9500cc8b3,Hazem Housseini,22123123,Tunisia,9888,6705a980d1e7e8c9500cc8b3,Hazem Housseini,22123123,Tunisia,9888,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hazzem,+21620000000,Tun,9889,6706ab93d1e7e8c9500cc9d1,2024-10-08T23:00:00.000Z,2024-10-09T16:13:07.295Z,False,0,0,Article 0,1.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,90.0,107.1,90.0,0.19,item,67017588a2c4c24c9f65bd33,5.0,6706ab93d1e7e8c9500cc9d2,108.17099999999999,90.0,False,fodec,1.0,PERCENTILE,True,,,,,,TND,670175884b923eac46d240f3,6706ab93d1e7e8c9500cc9c9,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-09T16:13:07.295Z,2024-10-09T16:13:07.295Z,0,00003,,,,,,,,,,,référence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hazzem,+21620000000,Tun,9889,67078d3ae7ea09652780f36a,2024-10-09T23:00:00.000Z,2024-10-10T08:15:54.659Z,False,0,0,Article 0,3.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,60.0,203.4,180.0,0.13,item,67017588a2c4c24c9f65bd33,5.0,67078d3ae7ea09652780f36b,204.4,180.0,False,stamp,1.0,NUMBER,False,,,,,,TND,670175884b923eac46d240f3,67078d3ae7ea09652780f362,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:15:54.660Z,2024-10-10T08:15:54.660Z,0,00001,6705a980d1e7e8c9500cc8b3,Hazem Housseini,,,,6705a980d1e7e8c9500cc8b3,Hazem Housseini,,,,référence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hazzem,+21620000000,Tun,9889,67078d70e7ea09652780f37d,2024-10-09T23:00:00.000Z,2024-10-10T08:16:48.587Z,False,0,0,Article 0,1.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,50.0,59.5,50.0,0.19,item,67017588a2c4c24c9f65bd33,5.0,67078d70e7ea09652780f37e,59.5,50.0,,,,,,,,,,,TND,670175884b923eac46d240f3,67078d70e7ea09652780f375,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:16:48.588Z,2024-10-10T08:16:48.588Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hazzem,+21620000000,Tun,9889,67078dd1e7ea09652780f38e,2024-10-09T23:00:00.000Z,2024-10-10T08:18:25.567Z,False,0,0,Article 0,5.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,5.0,25.0,25.0,0.0,item,67017588a2c4c24c9f65bd33,5.0,67078dd1e7ea09652780f38f,25.0,25.0,,,,,,,,,,,TND,670175884b923eac46d240f3,67078dd1e7ea09652780f386,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:18:25.568Z,2024-10-10T08:18:25.568Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazzem,+21620000000,Tun,9889,67078e04e7ea09652780f39f,2024-10-09T23:00:00.000Z,2024-10-10T08:19:16.078Z,False,0,0,Article 0,2.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,0.0,0.0,0.0,0.0,item,67017588a2c4c24c9f65bd33,5.0,67078e04e7ea09652780f3a0,0.0,0.0,,,,,,,,,,,TND,670175884b923eac46d240f3,67078e04e7ea09652780f397,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:19:16.078Z,2024-10-10T08:19:16.078Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hazzem,+21620000000,Tun,9889,67078e28e7ea09652780f3b0,2024-10-09T23:00:00.000Z,2024-10-10T08:19:52.774Z,False,0,0,Article 0,5.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,60.0,339.0,300.0,0.13,item,67017588a2c4c24c9f65bd33,5.0,67078e28e7ea09652780f3b1,339.0,300.0,,,,,,,,,,,TND,670175884b923eac46d240f3,67078e28e7ea09652780f3a8,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:19:52.775Z,2024-10-10T08:19:52.775Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hazzem,+21620000000,Tun,9889,670795dce7ea09652780f3c1,2024-10-09T23:00:00.000Z,2024-10-10T08:52:44.756Z,False,0,0,Article 0,5.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,60.0,339.0,300.0,0.13,item,67017588a2c4c24c9f65bd33,5.0,670795dce7ea09652780f3c2,339.0,300.0,,,,,,,,,,,TND,670175884b923eac46d240f3,670795dce7ea09652780f3b9,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:52:44.756Z,2024-10-10T08:52:44.756Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HazzemCompany,+21620000000,Tun,9889,67079639e7ea09652780f3d2,2024-10-09T23:00:00.000Z,2024-10-10T08:54:17.719Z,False,0,0,Article 0,1.0,670175a9a2c4c24c9f65bd3d,670175a9a2c4c24c9f65bd3d,60.0,67.8,60.0,0.13,item,67017588a2c4c24c9f65bd33,5.0,67079639e7ea09652780f3d3,67.8,60.0,,,,,,,,,,,TND,670175884b923eac46d240f3,67079639e7ea09652780f3ca,unpaid,0.0,[],670175884b923eac46d240f1,False,good,,2024-10-10T08:54:17.719Z,2024-10-10T08:54:17.719Z,0,00001,,,,,,,,,,,référence,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
